Name,Formality,Season,Gender,Time_of_Day,Frequency,Longevity,Notes
Astral Night No.1126,0.73,Fall,Female,Night,Often,Short,"Mandarin, Mint | Freesia, Nutmeg | Sandalwood, Oud, Vanilla | Accords: Floral, Fresh, Citrus"
Lunar Oud No.1127,0.27,Winter,Male,Day,Often,Short,"Bergamot, Mint | Rose, Nutmeg | Vanilla, Musk, Sandalwood | Accords: Earthy, Smoky, Woody"
Astral Shadow No.1128,0.87,Spring,Male,Day,Occasionally,Short,"Pineapple, Bergamot | Jasmine, Cinnamon | Tonka Bean, Incense, Amber | Accords: Smoky, Fresh, Green"
Crimson Dream No.1129,0.33,Spring,Female,Night,Occasionally,Short,"Peach, Lavender | Clary Sage, Freesia | Oud, Oakmoss, Incense | Accords: Powdery, Fresh, Gourmand"
Lunar Spice No.1130,0.34,Summer,Female,Night,Often,Long,"Bergamot, Blackcurrant | Nutmeg, Violet | Musk, Amber, Oud | Accords: Spicy, Smoky, Fruity"
Desert Breeze No.1131,0.08,Winter,Female,Night,Occasionally,Short,"Apple, Lavender | Jasmine, Geranium | Incense, Leather, Cedarwood | Accords: Fruity, Earthy, Smoky"
Golden Storm No.1132,0.87,Fall,Female,Night,Often,Long,"Pink Pepper, Peach | Freesia, Iris | Vanilla, Oud, Sandalwood | Accords: Fresh, Gourmand, Green"
Golden Elixir No.1133,0.28,Fall,Male,Night,Occasionally,Short,"Grapefruit, Pineapple | Lily of the Valley, Nutmeg | Tonka Bean, Incense, Vanilla | Accords: Smoky, Fresh, Earthy"
Mystic Spice No.1134,0.4,Fall,Female,Day,Occasionally,Short,"Apple, Bergamot | Clary Sage, Lily of the Valley | Amber, Patchouli, Tonka Bean | Accords: Spicy, Aquatic, Fresh"
Phantom Soul No.1135,0.27,Spring,Male,Day,Occasionally,Long,"Lavender, Grapefruit | Nutmeg, Violet | Vanilla, Amber, Tonka Bean | Accords: Green, Gourmand, Smoky"
Golden Fire No.1136,0.92,Spring,Male,Day,Occasionally,Long,"Pink Pepper, Bergamot | Cardamom, Iris | Oakmoss, Tonka Bean, Cedarwood | Accords: Fresh, Aquatic, Smoky"
Azure Nectar No.1137,0.98,Summer,Male,Night,Often,Short,"Peach, Sea Salt | Rose, Orchid | Oakmoss, Oud, Leather | Accords: Powdery, Citrus, Aquatic"
Solar Dream No.1138,0.67,Summer,Any,Night,Occasionally,Long,"Bergamot, Apple | Jasmine, Orchid | Sandalwood, Patchouli, Vetiver | Accords: Woody, Gourmand, Floral"
Mystic Amber No.1139,0.98,Winter,Female,Night,Often,Long,"Grapefruit, Peach | Lily of the Valley, Rose | Cedarwood, Leather, Sandalwood | Accords: Fruity, Green, Fresh"
Secret Orchid No.1140,0.37,Spring,Male,Day,Often,Long,"Sea Salt, Grapefruit | Violet, Nutmeg | Amber, Sandalwood, Tonka Bean | Accords: Powdery, Aquatic, Woody"
Desert Musk No.1141,0.94,Spring,Any,Night,Often,Short,"Mandarin, Blackcurrant | Clary Sage, Cinnamon | Musk, Vetiver, Oud | Accords: Green, Woody, Smoky"
Desert Fire No.1142,0.09,Summer,Female,Night,Often,Short,"Pineapple, Peach | Clary Sage, Freesia | Amber, Tonka Bean, Vetiver | Accords: Spicy, Green, Fresh"
Solar Storm No.1143,0.14,Summer,Female,Night,Occasionally,Long,"Peach, Lavender | Iris, Orchid | Vanilla, Cedarwood, Oakmoss | Accords: Green, Spicy, Fresh"
Crimson Rose No.1144,0.75,Fall,Male,Night,Often,Long,"Apple, Sea Salt | Cardamom, Freesia | Sandalwood, Vanilla, Patchouli | Accords: Gourmand, Floral, Earthy"
Astral Oud No.1145,0.82,Spring,Male,Night,Often,Short,"Mint, Apple | Iris, Jasmine | Patchouli, Musk, Amber | Accords: Spicy, Floral, Earthy"
Mystic Amber No.1146,0.09,Summer,Male,Day,Occasionally,Long,"Pink Pepper, Lavender | Cinnamon, Violet | Sandalwood, Oakmoss, Patchouli | Accords: Spicy, Fresh, Powdery"
Desert Fire No.1147,0.07,Summer,Female,Night,Often,Short,"Blackcurrant, Mandarin | Freesia, Iris | Incense, Musk, Oakmoss | Accords: Fruity, Aquatic, Green"
Ocean Amber No.1148,0.89,Winter,Any,Night,Often,Short,"Pink Pepper, Grapefruit | Orchid, Cinnamon | Musk, Oud, Patchouli | Accords: Floral, Green, Smoky"
Wild Rose No.1149,0.53,Winter,Male,Night,Occasionally,Long,"Lavender, Grapefruit | Violet, Rose | Vetiver, Tonka Bean, Amber | Accords: Spicy, Powdery, Gourmand"
Golden Rose No.1150,0.87,Summer,Female,Day,Occasionally,Short,"Mandarin, Bergamot | Nutmeg, Rose | Musk, Amber, Oakmoss | Accords: Earthy, Woody, Citrus"
Velvet Storm No.1151,0.73,Spring,Male,Night,Occasionally,Long,"Sea Salt, Pink Pepper | Iris, Rose | Oud, Sandalwood, Patchouli | Accords: Gourmand, Fruity, Earthy"
Urban Fire No.1152,0.6,Spring,Male,Night,Occasionally,Short,"Mandarin, Lavender | Clary Sage, Lily of the Valley | Incense, Patchouli, Vanilla | Accords: Smoky, Citrus, Gourmand"
Wild Elixir No.1153,0.55,Summer,Male,Day,Occasionally,Long,"Blackcurrant, Lemon | Cinnamon, Freesia | Oud, Leather, Incense | Accords: Floral, Powdery, Earthy"
Azure Dream No.1154,0.87,Summer,Female,Night,Occasionally,Short,"Peach, Lavender | Lily of the Valley, Jasmine | Vanilla, Oud, Vetiver | Accords: Powdery, Gourmand, Spicy"
Wild Storm No.1155,0.01,Fall,Male,Night,Often,Long,"Pineapple, Bergamot | Rose, Violet | Cedarwood, Musk, Vanilla | Accords: Fruity, Fresh, Earthy"
Astral Storm No.1156,0.36,Spring,Female,Day,Often,Short,"Blackcurrant, Peach | Lily of the Valley, Violet | Sandalwood, Patchouli, Oud | Accords: Spicy, Gourmand, Fruity"
Crystal Water No.1157,0.69,Summer,Male,Night,Occasionally,Short,"Pink Pepper, Pineapple | Rose, Lily of the Valley | Patchouli, Sandalwood, Vanilla | Accords: Aquatic, Fruity, Gourmand"
Neon Oud No.1158,0.81,Winter,Male,Night,Often,Long,"Sea Salt, Pineapple | Nutmeg, Clary Sage | Incense, Amber, Sandalwood | Accords: Earthy, Floral, Aquatic"
Desert Storm No.1159,0.44,Summer,Female,Night,Occasionally,Long,"Grapefruit, Mandarin | Cardamom, Geranium | Tonka Bean, Vetiver, Sandalwood | Accords: Gourmand, Powdery, Smoky"
Solar Breeze No.1160,0.08,Spring,Any,Day,Occasionally,Short,"Lemon, Blackcurrant | Orchid, Lily of the Valley | Amber, Cedarwood, Oakmoss | Accords: Woody, Gourmand, Fresh"
Urban Oud No.1161,0.24,Fall,Female,Night,Often,Long,"Pink Pepper, Lemon | Freesia, Orchid | Cedarwood, Patchouli, Musk | Accords: Gourmand, Citrus, Aquatic"
Ocean Fire No.1162,0.2,Fall,Male,Night,Often,Short,"Blackcurrant, Lavender | Cardamom, Cinnamon | Vetiver, Vanilla, Incense | Accords: Citrus, Fresh, Spicy"
Urban Nectar No.1163,0.4,Summer,Male,Night,Occasionally,Short,"Pineapple, Peach | Rose, Iris | Sandalwood, Oakmoss, Leather | Accords: Citrus, Gourmand, Floral"
Ocean Petal No.1164,0.99,Fall,Male,Night,Often,Short,"Lavender, Blackcurrant | Freesia, Rose | Cedarwood, Incense, Musk | Accords: Powdery, Earthy, Green"
Ocean Orchid No.1165,0.12,Summer,Male,Night,Occasionally,Short,"Grapefruit, Blackcurrant | Clary Sage, Iris | Oud, Leather, Patchouli | Accords: Powdery, Citrus, Fruity"
Midnight Orchid No.1166,0.69,Summer,Male,Day,Often,Short,"Peach, Lemon | Geranium, Orchid | Patchouli, Cedarwood, Oakmoss | Accords: Aquatic, Floral, Green"
Lunar Water No.1167,0.02,Summer,Female,Night,Often,Short,"Lemon, Mint | Cinnamon, Iris | Oakmoss, Tonka Bean, Patchouli | Accords: Green, Spicy, Gourmand"
Crystal Amber No.1168,0.32,Winter,Any,Day,Often,Long,"Peach, Lemon | Geranium, Clary Sage | Vanilla, Cedarwood, Musk | Accords: Green, Gourmand, Woody"
Solar Water No.1169,0.81,Spring,Male,Night,Often,Short,"Pineapple, Blackcurrant | Cardamom, Iris | Vetiver, Oud, Leather | Accords: Aquatic, Woody, Powdery"
Desert Orchid No.1170,0.06,Spring,Any,Day,Occasionally,Long,"Blackcurrant, Peach | Lily of the Valley, Cardamom | Incense, Vanilla, Tonka Bean | Accords: Green, Fruity, Earthy"
Mystic Water No.1171,0.23,Winter,Male,Day,Occasionally,Long,"Mint, Blackcurrant | Nutmeg, Orchid | Musk, Incense, Cedarwood | Accords: Aquatic, Smoky, Citrus"
Wild Rose No.1172,0.35,Fall,Female,Day,Often,Short,"Lavender, Mint | Violet, Rose | Incense, Amber, Oud | Accords: Woody, Green, Fruity"
Urban Shadow No.1173,0.78,Spring,Any,Night,Occasionally,Short,"Mint, Peach | Violet, Freesia | Patchouli, Incense, Vetiver | Accords: Smoky, Green, Earthy"
Midnight Rose No.1174,0.28,Winter,Female,Day,Often,Long,"Blackcurrant, Apple | Cardamom, Orchid | Sandalwood, Oud, Cedarwood | Accords: Spicy, Green, Powdery"
Midnight Musk No.1175,0.88,Spring,Female,Night,Occasionally,Long,"Blackcurrant, Sea Salt | Lily of the Valley, Clary Sage | Patchouli, Sandalwood, Oud | Accords: Floral, Spicy, Aquatic"
Wild Amber No.1176,0.34,Summer,Female,Day,Often,Long,"Blackcurrant, Lemon | Orchid, Lily of the Valley | Tonka Bean, Amber, Oakmoss | Accords: Earthy, Smoky, Gourmand"
Royal Musk No.1177,0.92,Winter,Female,Day,Often,Long,"Bergamot, Grapefruit | Violet, Clary Sage | Vetiver, Musk, Oakmoss | Accords: Smoky, Fresh, Fruity"
Midnight Wood No.1178,0.6,Summer,Any,Day,Occasionally,Long,"Apple, Pink Pepper | Cinnamon, Cardamom | Leather, Amber, Sandalwood | Accords: Powdery, Aquatic, Spicy"
Velvet Soul No.1179,0.71,Winter,Female,Night,Often,Short,"Pink Pepper, Grapefruit | Cardamom, Geranium | Cedarwood, Patchouli, Sandalwood | Accords: Spicy, Earthy, Aquatic"
Desert Storm No.1180,0.84,Winter,Female,Night,Often,Long,"Mandarin, Mint | Freesia, Cardamom | Patchouli, Sandalwood, Amber | Accords: Citrus, Spicy, Woody"
Velvet Oud No.1181,0.48,Spring,Any,Night,Occasionally,Short,"Apple, Mint | Cinnamon, Geranium | Patchouli, Amber, Cedarwood | Accords: Fresh, Citrus, Floral"
Phantom Musk No.1182,0.17,Spring,Female,Night,Often,Short,"Pineapple, Mandarin | Nutmeg, Clary Sage | Leather, Vanilla, Patchouli | Accords: Fresh, Woody, Floral"
Crimson Shadow No.1183,0.15,Winter,Female,Night,Often,Long,"Apple, Grapefruit | Rose, Iris | Sandalwood, Leather, Incense | Accords: Fresh, Smoky, Green"
Azure Wood No.1184,0.95,Winter,Any,Night,Often,Long,"Pineapple, Lavender | Lily of the Valley, Clary Sage | Vetiver, Oud, Sandalwood | Accords: Citrus, Gourmand, Fruity"
Desert Dream No.1185,0.01,Summer,Male,Night,Occasionally,Short,"Pineapple, Bergamot | Violet, Cinnamon | Vanilla, Musk, Amber | Accords: Smoky, Fruity, Spicy"
Desert Orchid No.1186,0.81,Summer,Female,Day,Often,Short,"Apple, Lavender | Geranium, Cardamom | Sandalwood, Cedarwood, Oud | Accords: Green, Spicy, Powdery"
Crimson Soul No.1187,0.74,Winter,Any,Day,Often,Long,"Sea Salt, Apple | Rose, Orchid | Oud, Oakmoss, Cedarwood | Accords: Spicy, Citrus, Woody"
Royal Orchid No.1188,0.66,Spring,Female,Day,Often,Long,"Pineapple, Sea Salt | Nutmeg, Violet | Incense, Sandalwood, Vanilla | Accords: Earthy, Spicy, Fruity"
Crimson Shadow No.1189,0.58,Spring,Any,Day,Often,Short,"Lemon, Peach | Cinnamon, Orchid | Musk, Oakmoss, Vetiver | Accords: Aquatic, Powdery, Earthy"
Golden Breeze No.1190,0.25,Fall,Male,Night,Occasionally,Short,"Mint, Lavender | Clary Sage, Orchid | Oud, Incense, Cedarwood | Accords: Woody, Fruity, Spicy"
Royal Oud No.1191,0.29,Summer,Any,Night,Occasionally,Long,"Pineapple, Lemon | Nutmeg, Clary Sage | Incense, Vanilla, Musk | Accords: Fresh, Gourmand, Spicy"
Solar Soul No.1192,0.01,Fall,Male,Day,Occasionally,Short,"Grapefruit, Mandarin | Nutmeg, Freesia | Tonka Bean, Patchouli, Sandalwood | Accords: Citrus, Smoky, Green"
Astral Oud No.1193,0.02,Summer,Female,Day,Occasionally,Short,"Peach, Lemon | Iris, Clary Sage | Musk, Vetiver, Cedarwood | Accords: Spicy, Earthy, Fresh"
Crimson Breeze No.1194,0.39,Spring,Female,Day,Occasionally,Short,"Mint, Mandarin | Freesia, Lily of the Valley | Sandalwood, Musk, Tonka Bean | Accords: Floral, Woody, Gourmand"
Ocean Wood No.1195,0.47,Summer,Male,Night,Occasionally,Short,"Pineapple, Lemon | Cinnamon, Orchid | Incense, Oud, Cedarwood | Accords: Fresh, Green, Smoky"
Secret Storm No.1196,0.95,Winter,Female,Night,Occasionally,Long,"Mint, Lavender | Geranium, Cardamom | Oud, Patchouli, Amber | Accords: Aquatic, Gourmand, Green"
Royal Breeze No.1197,0.55,Winter,Male,Day,Often,Short,"Pink Pepper, Mint | Cinnamon, Violet | Incense, Musk, Vanilla | Accords: Woody, Smoky, Spicy"
Velvet Soul No.1198,0.57,Summer,Any,Night,Often,Long,"Apple, Pink Pepper | Nutmeg, Lily of the Valley | Amber, Oakmoss, Vetiver | Accords: Spicy, Powdery, Fresh"
Midnight Soul No.1199,0.7,Spring,Any,Night,Occasionally,Long,"Pink Pepper, Lemon | Jasmine, Iris | Amber, Vanilla, Oud | Accords: Spicy, Earthy, Fresh"
Secret Amber No.1200,0.43,Spring,Female,Day,Occasionally,Short,"Pink Pepper, Bergamot | Orchid, Rose | Vanilla, Incense, Oakmoss | Accords: Spicy, Aquatic, Gourmand"
Crystal Orchid No.1201,0.69,Winter,Female,Night,Often,Short,"Lemon, Sea Salt | Jasmine, Rose | Cedarwood, Leather, Sandalwood | Accords: Gourmand, Aquatic, Woody"
Phantom Amber No.1202,0.31,Fall,Male,Day,Occasionally,Long,"Apple, Lemon | Clary Sage, Iris | Incense, Musk, Amber | Accords: Fruity, Earthy, Green"
Wild Oud No.1203,0.62,Summer,Any,Day,Often,Long,"Pink Pepper, Lemon | Cinnamon, Lily of the Valley | Sandalwood, Amber, Oud | Accords: Smoky, Powdery, Fruity"
Azure Shadow No.1204,0.14,Fall,Any,Night,Often,Short,"Blackcurrant, Lemon | Freesia, Rose | Oud, Cedarwood, Leather | Accords: Fruity, Powdery, Fresh"
Mystic Spice No.1205,0.44,Fall,Any,Day,Occasionally,Short,"Mint, Bergamot | Lily of the Valley, Violet | Oakmoss, Cedarwood, Musk | Accords: Smoky, Fresh, Earthy"
Mystic Breeze No.1206,0.04,Spring,Female,Day,Occasionally,Short,"Grapefruit, Lemon | Rose, Cinnamon | Amber, Sandalwood, Musk | Accords: Floral, Fruity, Earthy"
Crystal Nectar No.1207,0.05,Spring,Female,Night,Often,Long,"Lemon, Lavender | Nutmeg, Rose | Sandalwood, Vanilla, Incense | Accords: Gourmand, Fruity, Aquatic"
Solar Amber No.1208,0.27,Summer,Female,Day,Often,Short,"Grapefruit, Peach | Cardamom, Clary Sage | Leather, Oud, Tonka Bean | Accords: Smoky, Green, Gourmand"
Phantom Storm No.1209,0.47,Spring,Male,Night,Occasionally,Long,"Pink Pepper, Mint | Iris, Freesia | Patchouli, Oakmoss, Musk | Accords: Floral, Citrus, Earthy"
Phantom Musk No.1210,0.38,Summer,Male,Night,Often,Short,"Sea Salt, Apple | Orchid, Violet | Incense, Tonka Bean, Patchouli | Accords: Citrus, Earthy, Powdery"
Desert Fire No.1211,0.17,Fall,Female,Night,Often,Short,"Lemon, Pink Pepper | Nutmeg, Freesia | Incense, Vanilla, Leather | Accords: Smoky, Fresh, Spicy"
Wild Shadow No.1212,0.17,Spring,Any,Day,Occasionally,Short,"Apple, Peach | Cardamom, Clary Sage | Tonka Bean, Oud, Musk | Accords: Powdery, Woody, Floral"
Golden Spice No.1213,0.41,Summer,Any,Day,Often,Long,"Grapefruit, Mint | Nutmeg, Jasmine | Leather, Vanilla, Patchouli | Accords: Fruity, Gourmand, Aquatic"
Crystal Dream No.1214,0.87,Fall,Male,Night,Often,Short,"Pineapple, Mint | Lily of the Valley, Geranium | Oud, Vanilla, Amber | Accords: Spicy, Green, Powdery"
Urban Shadow No.1215,0.8,Winter,Any,Day,Occasionally,Short,"Blackcurrant, Apple | Nutmeg, Iris | Vetiver, Incense, Musk | Accords: Fresh, Gourmand, Floral"
Mystic Dream No.1216,0.32,Summer,Female,Day,Often,Short,"Bergamot, Pineapple | Iris, Clary Sage | Vanilla, Leather, Oud | Accords: Smoky, Aquatic, Spicy"
Lunar Rose No.1217,0.32,Winter,Any,Night,Occasionally,Long,"Blackcurrant, Grapefruit | Cinnamon, Orchid | Cedarwood, Musk, Leather | Accords: Powdery, Floral, Aquatic"
Crimson Spice No.1218,0.67,Winter,Female,Day,Occasionally,Short,"Sea Salt, Bergamot | Rose, Nutmeg | Oakmoss, Incense, Tonka Bean | Accords: Aquatic, Citrus, Woody"
Solar Breeze No.1219,0.51,Spring,Female,Night,Often,Short,"Peach, Bergamot | Freesia, Cardamom | Vetiver, Patchouli, Amber | Accords: Spicy, Aquatic, Gourmand"
Azure Spice No.1220,0.94,Summer,Any,Day,Occasionally,Long,"Mint, Bergamot | Jasmine, Iris | Cedarwood, Sandalwood, Leather | Accords: Powdery, Smoky, Spicy"
Desert Breeze No.1221,0.61,Fall,Male,Night,Occasionally,Short,"Pineapple, Sea Salt | Clary Sage, Cardamom | Oud, Sandalwood, Oakmoss | Accords: Smoky, Powdery, Floral"
Solar Breeze No.1222,0.37,Summer,Female,Day,Often,Long,"Peach, Lemon | Geranium, Freesia | Tonka Bean, Amber, Oakmoss | Accords: Fruity, Floral, Fresh"
Neon Dream No.1223,0.35,Fall,Male,Day,Occasionally,Long,"Pink Pepper, Mandarin | Cardamom, Violet | Oakmoss, Vanilla, Leather | Accords: Green, Spicy, Smoky"
Velvet Shadow No.1224,0.01,Spring,Male,Night,Occasionally,Long,"Apple, Peach | Freesia, Violet | Musk, Vanilla, Tonka Bean | Accords: Citrus, Powdery, Spicy"
Phantom Breeze No.1225,0.06,Winter,Male,Night,Often,Long,"Mint, Lavender | Rose, Freesia | Incense, Sandalwood, Vanilla | Accords: Citrus, Gourmand, Woody"
Urban Storm No.1226,0.11,Fall,Male,Night,Occasionally,Long,"Pineapple, Sea Salt | Violet, Geranium | Musk, Oud, Vanilla | Accords: Floral, Aquatic, Smoky"
Lunar Wood No.1227,0.3,Winter,Male,Night,Occasionally,Short,"Apple, Sea Salt | Iris, Rose | Vanilla, Tonka Bean, Amber | Accords: Aquatic, Gourmand, Floral"
Phantom Dream No.1228,0.93,Fall,Any,Night,Often,Long,"Pink Pepper, Lavender | Freesia, Cinnamon | Oud, Vanilla, Vetiver | Accords: Gourmand, Fresh, Fruity"
Solar Storm No.1229,0.7,Fall,Male,Night,Occasionally,Short,"Blackcurrant, Pink Pepper | Clary Sage, Orchid | Vetiver, Vanilla, Oud | Accords: Smoky, Aquatic, Spicy"
Phantom Amber No.1230,0.49,Fall,Male,Day,Often,Long,"Peach, Pineapple | Violet, Lily of the Valley | Sandalwood, Vetiver, Oud | Accords: Powdery, Fresh, Floral"
Secret Nectar No.1231,0.11,Spring,Female,Night,Often,Short,"Apple, Mint | Freesia, Jasmine | Musk, Amber, Tonka Bean | Accords: Fresh, Citrus, Floral"
Solar Dream No.1232,0.52,Summer,Male,Night,Often,Long,"Sea Salt, Lavender | Clary Sage, Nutmeg | Leather, Sandalwood, Musk | Accords: Fruity, Earthy, Woody"
Neon Spice No.1233,0.27,Winter,Male,Day,Often,Short,"Lemon, Grapefruit | Cardamom, Lily of the Valley | Patchouli, Vetiver, Tonka Bean | Accords: Floral, Woody, Spicy"
Ocean Nectar No.1234,0.95,Fall,Male,Night,Often,Short,"Apple, Mandarin | Lily of the Valley, Orchid | Vetiver, Leather, Tonka Bean | Accords: Fresh, Green, Fruity"
Lunar Shadow No.1235,0.95,Summer,Any,Night,Often,Short,"Lemon, Grapefruit | Rose, Violet | Oud, Incense, Oakmoss | Accords: Aquatic, Fresh, Citrus"
Solar Breeze No.1236,0.11,Winter,Female,Night,Occasionally,Long,"Bergamot, Lavender | Orchid, Geranium | Musk, Oakmoss, Vanilla | Accords: Citrus, Aquatic, Fresh"
Phantom Nectar No.1237,0.85,Winter,Female,Day,Often,Short,"Grapefruit, Mandarin | Geranium, Iris | Amber, Musk, Sandalwood | Accords: Smoky, Fresh, Citrus"
Ocean Night No.1238,0.48,Summer,Any,Night,Often,Long,"Bergamot, Mint | Geranium, Jasmine | Incense, Vanilla, Cedarwood | Accords: Green, Woody, Fresh"
Wild Breeze No.1239,0.68,Fall,Female,Night,Occasionally,Short,"Grapefruit, Mint | Lily of the Valley, Nutmeg | Cedarwood, Tonka Bean, Patchouli | Accords: Aquatic, Citrus, Smoky"
Lunar Dream No.1240,0.42,Summer,Any,Day,Often,Long,"Sea Salt, Pineapple | Lily of the Valley, Geranium | Vanilla, Vetiver, Musk | Accords: Spicy, Earthy, Powdery"
Ocean Dream No.1241,0.37,Fall,Male,Night,Often,Short,"Pink Pepper, Sea Salt | Cardamom, Rose | Leather, Amber, Sandalwood | Accords: Fruity, Earthy, Fresh"
Wild Breeze No.1242,0.04,Fall,Female,Night,Occasionally,Long,"Pineapple, Grapefruit | Iris, Violet | Musk, Sandalwood, Vanilla | Accords: Green, Woody, Fruity"
Velvet Oud No.1243,0.56,Fall,Male,Night,Often,Long,"Pink Pepper, Apple | Clary Sage, Geranium | Tonka Bean, Vanilla, Oakmoss | Accords: Fresh, Gourmand, Floral"
Ocean Night No.1244,0.81,Spring,Any,Day,Occasionally,Long,"Grapefruit, Blackcurrant | Iris, Violet | Tonka Bean, Amber, Leather | Accords: Spicy, Green, Citrus"
Secret Spice No.1245,0.13,Summer,Female,Night,Often,Long,"Mandarin, Sea Salt | Nutmeg, Lily of the Valley | Oakmoss, Musk, Tonka Bean | Accords: Floral, Green, Aquatic"
Ocean Breeze No.1246,0.8,Spring,Female,Night,Occasionally,Long,"Apple, Grapefruit | Freesia, Iris | Oakmoss, Cedarwood, Tonka Bean | Accords: Aquatic, Gourmand, Earthy"
Ocean Nectar No.1247,0.61,Spring,Any,Night,Often,Long,"Pineapple, Blackcurrant | Violet, Nutmeg | Oakmoss, Incense, Vetiver | Accords: Green, Aquatic, Smoky"
Phantom Shadow No.1248,0.51,Spring,Female,Night,Occasionally,Short,"Apple, Peach | Violet, Freesia | Vetiver, Amber, Cedarwood | Accords: Fresh, Gourmand, Earthy"
Crystal Fire No.1249,0.44,Summer,Male,Night,Often,Short,"Lemon, Apple | Orchid, Nutmeg | Amber, Musk, Vetiver | Accords: Woody, Floral, Smoky"
Golden Rose No.1250,0.99,Spring,Female,Night,Often,Long,"Pineapple, Lemon | Clary Sage, Rose | Vanilla, Leather, Patchouli | Accords: Spicy, Aquatic, Citrus"
Solar Rose No.1251,0.34,Fall,Female,Night,Occasionally,Long,"Lemon, Blackcurrant | Geranium, Clary Sage | Sandalwood, Incense, Amber | Accords: Fresh, Powdery, Smoky"
Azure Orchid No.1252,0.75,Fall,Any,Night,Occasionally,Short,"Pineapple, Lavender | Clary Sage, Geranium | Musk, Amber, Tonka Bean | Accords: Fruity, Floral, Green"
Phantom Fire No.1253,1.0,Summer,Any,Day,Occasionally,Long,"Apple, Mandarin | Cardamom, Clary Sage | Incense, Leather, Oud | Accords: Fresh, Woody, Earthy"
Azure Musk No.1254,0.29,Fall,Any,Night,Often,Short,"Blackcurrant, Apple | Nutmeg, Clary Sage | Vetiver, Amber, Tonka Bean | Accords: Woody, Powdery, Gourmand"
Secret Fire No.1255,0.85,Fall,Male,Night,Occasionally,Short,"Apple, Mandarin | Nutmeg, Rose | Cedarwood, Amber, Oud | Accords: Powdery, Gourmand, Citrus"
Neon Dream No.1256,0.37,Winter,Any,Day,Occasionally,Long,"Apple, Pink Pepper | Nutmeg, Cinnamon | Oakmoss, Incense, Musk | Accords: Fresh, Green, Woody"
Desert Oud No.1257,0.28,Spring,Female,Day,Occasionally,Long,"Bergamot, Grapefruit | Iris, Freesia | Cedarwood, Vetiver, Leather | Accords: Smoky, Green, Powdery"
Astral Amber No.1258,0.7,Winter,Female,Night,Often,Long,"Bergamot, Pineapple | Violet, Rose | Oud, Sandalwood, Musk | Accords: Fruity, Powdery, Fresh"
Desert Fire No.1259,0.5,Summer,Male,Night,Often,Short,"Lavender, Apple | Nutmeg, Lily of the Valley | Patchouli, Incense, Musk | Accords: Gourmand, Floral, Smoky"
Crimson Petal No.1260,0.72,Summer,Female,Day,Often,Long,"Lemon, Pink Pepper | Iris, Orchid | Musk, Sandalwood, Amber | Accords: Fruity, Green, Aquatic"
Secret Spice No.1261,0.47,Spring,Male,Night,Often,Long,"Sea Salt, Grapefruit | Orchid, Iris | Tonka Bean, Leather, Oakmoss | Accords: Aquatic, Gourmand, Woody"
Ocean Storm No.1262,0.5,Summer,Any,Day,Often,Long,"Peach, Grapefruit | Freesia, Violet | Amber, Leather, Patchouli | Accords: Spicy, Earthy, Citrus"
Midnight Elixir No.1263,0.72,Spring,Male,Day,Occasionally,Short,"Mint, Lemon | Orchid, Iris | Amber, Leather, Oakmoss | Accords: Smoky, Fruity, Spicy"
Golden Oud No.1264,0.18,Summer,Female,Day,Often,Long,"Blackcurrant, Mint | Lily of the Valley, Clary Sage | Cedarwood, Oud, Vanilla | Accords: Fresh, Floral, Citrus"
Phantom Wood No.1265,0.3,Fall,Any,Night,Often,Short,"Lemon, Peach | Cinnamon, Violet | Sandalwood, Patchouli, Musk | Accords: Fresh, Fruity, Gourmand"
Mystic Elixir No.1266,0.95,Summer,Male,Day,Occasionally,Long,"Peach, Grapefruit | Jasmine, Violet | Patchouli, Leather, Oakmoss | Accords: Earthy, Aquatic, Smoky"
Astral Water No.1267,0.87,Winter,Any,Day,Occasionally,Short,"Lavender, Mandarin | Jasmine, Freesia | Musk, Sandalwood, Amber | Accords: Green, Earthy, Gourmand"
Wild Soul No.1268,1.0,Fall,Any,Night,Occasionally,Long,"Lavender, Apple | Clary Sage, Jasmine | Musk, Vetiver, Vanilla | Accords: Aquatic, Earthy, Woody"
Velvet Elixir No.1269,0.49,Fall,Male,Night,Occasionally,Short,"Grapefruit, Sea Salt | Clary Sage, Iris | Oud, Incense, Oakmoss | Accords: Smoky, Powdery, Gourmand"
Velvet Nectar No.1270,0.81,Spring,Male,Day,Occasionally,Long,"Pink Pepper, Peach | Nutmeg, Cinnamon | Leather, Amber, Cedarwood | Accords: Woody, Fresh, Spicy"
Wild Night No.1271,0.73,Fall,Any,Day,Often,Long,"Lemon, Mint | Cinnamon, Geranium | Cedarwood, Leather, Tonka Bean | Accords: Floral, Earthy, Aquatic"
Velvet Storm No.1272,0.81,Summer,Male,Night,Often,Short,"Bergamot, Apple | Orchid, Lily of the Valley | Oud, Patchouli, Tonka Bean | Accords: Citrus, Smoky, Powdery"
Velvet Amber No.1273,0.05,Fall,Female,Day,Occasionally,Short,"Pineapple, Sea Salt | Iris, Violet | Leather, Oakmoss, Amber | Accords: Floral, Woody, Earthy"
Lunar Wood No.1274,0.82,Summer,Female,Night,Occasionally,Short,"Apple, Grapefruit | Nutmeg, Rose | Leather, Musk, Vanilla | Accords: Woody, Floral, Gourmand"
